Codigo,Actinociclus sp,Actinocyclus senarius,aff Dactiliosolen,aff Surriliella,Alexandrium sp,Asteromphalus sp,Aulacodiscus archangelskianus,Aulacodiscus kittonii,Bacillaria paxillifer,Bacteriastrum delicatulum,Bacteriastrum furcatum,Bacteriastrum hyalinum,Central desconocida,Cerataulina bicornis,Cerataulina dentata,Cerataulina pelagica,Cerataulina sp,Ceratocorys horrida,Chaetoceros aff paradoxus,Chaetoceros affinis,Chaetoceros brevis,Chaetoceros brevis complex,Chaetoceros coarctatus,Chaetoceros compressus,Chaetoceros curvisetus,Chaetoceros danicus,Chaetoceros debilis,Chaetoceros denticulatus,Chaetoceros diversus,Chaetoceros laciniosus,Chaetoceros lorenzianus,Chaetoceros paradoxus,Chaetoceros peruvianus,Chaetoceros protuberans,Chaetoceros pseudocurvisetus,Chaetoceros radicans,Chaetoceros sp 1,Chaetoceros sp 2,Chaetoceros sp 3,Chaetoceros subtilis,Chetoceros diversus,Cianobacteria,Climacodiun frauenefeldianum,Coscinodicus sp 2,Coscinodiscopsis jonesiana,Coscinodiscus asteromphalus,Coscinodiscus centralis,Coscinodiscus gigas,Coscinodiscus granii,Coscinodiscus marginatus,Coscinodiscus perforatus,Coscinodiscus radiatus,Coscinodiscus sp 1,Coscinodiscus sp 2,Coscinodiscus sp 3,Coscinodiscus wailesii,Coscinodiscus wailesii-gigas,Coscinodisus gigas,Cyclotella striata,Dactyliosolen sp,Diatomea central pequeña,Diatomea pennada,Dinoflagelado circular,Dinoflageladodesnudo,Dinoflagelados 1,Dinophysis caudata,Diploneis gruendleri,Ditylum,Ditylum brightwellii,Entomoneis sp,Eucampia zodiacus,Gonyalacaceae,Gonyaulax polygramma,Gonyaulax sp,Guinardia delicatula,Guinardia flaccida,Guinardia sp,Guinardia striata,Gyrodinium spirale,Gyrosigma sp,Gyrosigma sp 2,Hemiaulus hauckii,Hemiaulus membranaceus,Hemiaulus sinensis,Hemiaulus sp,Hobaniella longicruris,Leptocilindrus danicus,Leptocilindrus sp,Lioloma elongatum,Lioloma pacificum,Lithodesmium undulatum,Lyrella sp,Melosira sp,Meuniera membranacea,Navicula sp,Neocalyptrella robusta,Neodelphineis pelagica,Nepcalliptrella robusta,Nitzschia closterium,Nitzschia sigmaformis,Nitzschia sigmoidea,Nitzschia sp,Odontella aurita,Ornitocercus sp,Ornitocercus stenii,Ornitocercus thumii,Phaeodactylum,Phalacorma sp,Phalacroma mitra,Phalacroma rapa,Phalacroma sp,Plagiotropis sp,Planktoniella muriformis,Podolampas bipes,Proboscia alata,Proboscia sp,Prorocentrum cf cordatum,Prorocentrum compressum,Prorocentrum lima,Prorocentrum mexicanum,Prorocentrum rhathymum,Prorocentrum sp,Protoperidinium (circular),Protoperidinium (esperico),Protoperidinium (pentagonal -falda),Protoperidinium (pentagonal),Protoperidinium (pentagonal-falconiforma),Protoperidinium (pentagonal-falda),Protoperidinium pyriforme,Protoperidinium pyrum,Protoperidinium sp 1,Protoperidinium sp 2,Protoperidinium sp 3,Protoperidinium sp 4,Protoperidinium sp3,Pseudonitzschia sp,Pseudosolenia calcar-avis,Pseudosolenia sp,Pyrocystis sp,Pyrodinium bahamense,Pyrodinium sp,Pyrophacus sp,Rhizolenia imbricata var. Shrubsolei,Rhizosolenia bergonii,Rhizosolenia cf hebetata,Rhizosolenia imbricata,Rhizosolenia setigera,Scripsiella sp,Skeletonema costatum,Skeletonema pseudocostatum,Skeletonema tropicum,Stellarima sp,Stephanopyxis sp,Stephanopyxis turris,Streptotheca sp,Synedra sp,Thalassionema,Thalassionema frauenfeldii,Thalassionema nitzschioides,Thalassionema nitzschioides/pseudo,Thalassionema sp,Thalassiosira nitzschioides,Thalassiosira sp,Thalssionema ,Trieres chinensis,Trieres mobiliensis,Trios muelleri,Tripos aff brevis,Tripos aff muelleri-brevis,Tripos arietinus,Tripos armatum,Tripos brevis,Tripos candelabrum,Tripos cf brevis,Tripos cf karsteni,Tripos cf mssiliensis,Tripos cf muelleri,Tripos cf vultur,Tripos declinatus,Tripos eugrammus,Tripos extensus,Tripos fusus,Tripos lunula,Tripos macroceros,Tripos massiliensis,Tripos muelleri,Tripos pentagonus,Tripos sp,Tripos trichoceros
A06A,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,3,0,0,14,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,4,0,0,0,0,0,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,248,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,7,0,0,35,8,0,1,0,2,0,32,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A06B,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,2,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G01A,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,23,0,0,0,0,0,9,0,0,26,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,4,0,0,0,0,0,1,0,0,0,4,0,0,32,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G01B,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,7,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
G02A,0,0,0,0,0,1,0,0,0,0,1,6,0,0,0,5,0,1,0,12,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,2,1,0,0,0,0,3,0,0
G02B,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,0,0,3,0,0,6,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,1,5,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,43,0,12,0,0,0,0,0,0,3,15,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,2,0,0,3,4,0,0,0,0,1,0,0,0
G03A,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
G03B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,12,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
G04A,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,0,0,0,0,2,8,0,0,0,0,3,0,0,5,2,9,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
G04B,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,4,1,3,0,11,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,6,1,0,1,3,1,2,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,11,0,0,1,0,2,0,0,2,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,242,0,12,0,0,0,0,1,0,0,4,0,0,0,0,0,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G05A,0,0,0,0,0,0,0,0,0,7,0,7,1,0,1,1,0,2,0,8,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,12,0,6,1,4,11,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,1,0,0,4,0,9,0,0,0,2,0,0,0,0,0,0,1,10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
G05B,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,23,4,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,17,0,0,0,7,0,10,0,8,12,2,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G06A,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,2,4,0,0,18,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,11,32,0,0,3,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,3,0,0,0,7,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,132,0,2,0,0,0,0,0,0,0,13,0,0,0,0,0,22,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
G06B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,18,0,14,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S01A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,7,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
